Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:43:05
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:43:15
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:43:25
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:43:35
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:43:45
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:43:55
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:44:05
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:44:15
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:44:25
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:44:35
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:44:45
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:44:55
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:45:05
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:45:15
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:45:25
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:45:35
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:45:45
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:45:55
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:46:05
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:46:15
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:46:25
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:46:35
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:46:45
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:46:55
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:47:05
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:47:15
